timestamp,cardNumber,type,amount,receiverCard,balance,status
2026-03-09,100001,BALANCE,null,null,10600,SUCCESS
2026-03-09,100001,WITHDRAW,600,null,10000,SUCCESS
2026-03-09,100001,DEPOSIT,1500,null,11500,SUCCESS
2026-03-09,100001,TRANSFER,1500,100003,10000,SUCCESS
2026-03-09,100001,CHANGE_PIN,null,null,null,SUCCESS
2026-03-09,100002,BALANCE,null,null,5000,SUCCESS
2026-03-16,100001,DEPOSIT,10000,null,20000,SUCCESS
2026-03-16,100001,DEPOSIT,10000,null,30000,SUCCESS
2026-03-16,100001,DEPOSIT,10000,null,40000,SUCCESS
2026-03-16,100001,DEPOSIT,10000,null,50000,SUCCESS
2026-03-16,100001,DEPOSIT,50000,null,100000,SUCCESS
2026-03-16,100001,BALANCE,null,null,90000,SUCCESS
2026-03-16,100001,WITHDRAW,50000,null,null,ERROR
2026-03-16,100001,WITHDRAW,10000,null,80000,SUCCESS
2026-03-16,100001,WITHDRAW,10000,null,70000,SUCCESS
2026-03-16,100001,WITHDRAW,10000,null,60000,SUCCESS
2026-03-16,100001,WITHDRAW,10000,null,50000,SUCCESS
2026-03-16,100001,WITHDRAW,10000,null,40000,SUCCESS
2026-03-16,100001,WITHDRAW,10000,null,null,ERROR
